type,area_in_marla,bedroom,bath,location_city,price
House,20.0,7.0,6.0,Islamabad,190000000.0
House,14.2,6.0,6.0,Islamabad,60000000.0
House,20.0,8.0,7.0,Islamabad,70000000.0
House,8.0,4.0,6.0,Islamabad,26500000.0
Flat,2.4,1.0,1.0,Islamabad,4000000.0
Flat,2.3,1.0,1.0,Islamabad,7200000.0
House,5.3,1.0,2.0,Islamabad,7000000.0
House,20.0,6.0,6.0,Islamabad,117000000.0
House,7.0,4.0,4.0,Islamabad,58000000.0
House,14.2,6.0,6.0,Islamabad,60000000.0
House,20.0,6.0,6.0,Islamabad,105000000.0
House,22.0,3.0,4.0,Islamabad,180000000.0
House,20.0,6.0,6.0,Islamabad,117000000.0
Flat,5.2,2.0,3.0,Islamabad,34000000.0
Other,480.0,4.0,4.0,Islamabad,420000000.0
House,8.0,5.0,5.0,Islamabad,37000000.0
House,5.0,3.0,4.0,Islamabad,16500000.0
House,8.0,4.0,4.0,Islamabad,30000000.0
House,20.0,6.0,6.0,Islamabad,140000000.0
House,10.0,5.0,6.0,Islamabad,45000000.0
Flat,9.8,3.0,3.0,Islamabad,27000000.0
House,20.0,6.0,6.0,Islamabad,115000000.0
House,20.0,7.0,7.0,Islamabad,115000000.0
House,28.0,5.0,5.0,Islamabad,167500000.0
House,20.0,6.0,6.0,Islamabad,115000000.0
House,14.2,6.0,6.0,Islamabad,105000000.0
House,40.0,6.0,7.0,Islamabad,165000000.0
Flat,6.4,2.0,2.0,Islamabad,25500000.0
House,20.0,5.0,7.0,Islamabad,117500000.0
House,20.0,5.0,5.0,Islamabad,260000000.0
House,10.0,5.0,6.0,Islamabad,41500000.0
House,8.0,5.0,5.0,Islamabad,43000000.0
House,17.8,5.0,5.0,Islamabad,240000000.0
House,20.0,4.0,5.0,Islamabad,67000000.0
House,8.0,4.0,5.0,Islamabad,29500000.0
House,24.0,6.0,6.0,Islamabad,80000000.0
House,17.2,6.0,6.0,Islamabad,65000000.0
House,20.0,5.0,6.0,Islamabad,145000000.0
House,10.0,4.0,5.0,Islamabad,59000000.0
House,10.0,9.0,6.0,Islamabad,90000000.0
House,12.0,5.0,6.0,Islamabad,48000000.0
House,34.0,5.0,5.0,Islamabad,160000000.0
House,5.0,4.0,5.0,Islamabad,23000000.0
House,20.0,9.0,7.0,Islamabad,140000000.0
Flat,11.6,3.0,3.0,Islamabad,135000000.0
House,7.0,4.0,5.0,Islamabad,29500000.0
House,8.0,5.0,6.0,Islamabad,40000000.0
House,20.0,6.0,7.0,Islamabad,120000000.0
House,20.0,7.0,6.0,Islamabad,125000000.0
House,20.0,5.0,5.0,Islamabad,107500000.0
House,8.0,5.0,5.0,Islamabad,70000000.0
House,5.0,2.0,3.0,Islamabad,12500000.0
House,7.0,4.0,5.0,Islamabad,60000000.0
House,20.0,6.0,6.0,Islamabad,105000000.0
House,8.0,5.0,5.0,Islamabad,31500000.0
Flat,2.7,1.0,1.0,Islamabad,5000000.0
House,10.9,7.0,7.0,Islamabad,80000000.0
Flat,6.9,2.0,2.0,Islamabad,15000000.0
Flat,6.2,2.0,2.0,Islamabad,20000000.0
House,10.0,5.0,6.0,Islamabad,46000000.0
Flat,2.4,2.0,1.0,Islamabad,6800000.0
Flat,5.7,2.0,2.0,Islamabad,11500000.0
Flat,12.4,4.0,3.0,Islamabad,40000000.0
House,5.0,3.0,4.0,Islamabad,24500000.0
Flat,14.0,3.0,4.0,Islamabad,150000000.0
House,20.0,8.0,6.0,Islamabad,72500000.0
House,5.0,3.0,3.0,Islamabad,15500000.0
House,20.0,6.0,6.0,Islamabad,145000000.0
House,40.0,10.0,6.0,Islamabad,220000000.0
House,4.0,3.0,5.0,Islamabad,42500000.0
House,8.0,6.0,6.0,Islamabad,38000000.0
House,20.0,6.0,7.0,Islamabad,99000000.0
House,20.0,6.0,5.0,Islamabad,130000000.0
House,8.0,5.0,6.0,Islamabad,35000000.0
Flat,5.0,2.0,2.0,Islamabad,16900000.0
House,10.9,6.0,6.0,Islamabad,77000000.0
House,7.0,6.0,7.0,Islamabad,26500000.0
House,20.0,9.0,7.0,Islamabad,72500000.0
House,20.0,6.0,6.0,Islamabad,105000000.0
Flat,4.0,2.0,2.0,Islamabad,11000000.0
House,20.0,5.0,6.0,Islamabad,230000000.0
House,12.0,6.0,6.0,Islamabad,48500000.0
House,10.0,5.0,6.0,Islamabad,52500000.0
House,10.0,5.0,5.0,Islamabad,52500000.0
House,5.0,5.0,5.0,Islamabad,26000000.0
Flat,3.8,2.0,2.0,Islamabad,10500000.0
House,32.0,7.0,7.0,Islamabad,700000000.0
House,5.0,3.0,3.0,Islamabad,21000000.0
House,14.0,6.0,6.0,Islamabad,110000000.0
Flat,17.8,4.0,4.0,Islamabad,70000000.0
House,20.0,5.0,6.0,Islamabad,115000000.0
House,10.0,6.0,6.0,Islamabad,47000000.0
House,24.0,5.0,6.0,Islamabad,305000000.0
House,66.0,8.0,6.0,Islamabad,1100000000.0
House,8.0,5.0,7.0,Islamabad,82500000.0
